"Header","Activities","Periods","Labour","Output","ValueAdded","Label","Labour_Growth","Output_Growth","ValueAdded_Growth"
"Environmental domains, total","Preparation for recycling",2009,3.1,1525,430,"Preparation for recy [...]",1.03333333333333,0.886627906976744,0.846456692913386
"Environmental domains, total","Preparation for recycling",2010,3.2,1873,497,"Preparation for recy [...]",1.03225806451613,1.22819672131148,1.15581395348837
"Environmental domains, total","Preparation for recycling",2011,3.6,2333,627,"Preparation for recy [...]",1.125,1.2455953016551,1.26156941649899
"Environmental domains, total","Preparation for recycling",2012,3.9,2389,658,"Preparation for recy [...]",1.08333333333333,1.02400342906129,1.04944178628389
"Environmental domains, total","Preparation for recycling",2013,4,2212,601,"Preparation for recy [...]",1.02564102564103,0.925910422771034,0.913373860182371
"Environmental domains, total","Preparation for recycling",2014,4,2191,642,"Preparation for recy [...]",1,0.990506329113924,1.06821963394343
"Environmental domains, total","Preparation for recycling",2015,4,2289,666,"Preparation for recy [...]",1,1.04472843450479,1.03738317757009
"Environmental domains, total","Production of industrial envir equipment",2001,5.4,1288,383,"Production of indust [...]",NA,NA,NA
"Environmental domains, total","Production of industrial envir equipment",2002,5.7,1436,397,"Production of indust [...]",1.05555555555556,1.11490683229814,1.03655352480418
"Environmental domains, total","Production of industrial envir equipment",2003,5.6,1432,393,"Production of indust [...]",0.982456140350877,0.997214484679666,0.98992443324937
"Environmental domains, total","Production of industrial envir equipment",2004,5.1,1337,355,"Production of indust [...]",0.910714285714286,0.933659217877095,0.903307888040712
"Environmental domains, total","Production of industrial envir equipment",2005,5.6,1545,385,"Production of indust [...]",1.09803921568627,1.15557217651458,1.08450704225352
"Environmental domains, total","Production of industrial envir equipment",2006,5.8,1579,418,"Production of indust [...]",1.03571428571429,1.02200647249191,1.08571428571429
"Environmental domains, total","Production of industrial envir equipment",2007,5.8,1625,419,"Production of indust [...]",1,1.02913236225459,1.00239234449761
"Environmental domains, total","Production of industrial envir equipment",2008,5.9,1674,393,"Production of indust [...]",1.01724137931034,1.03015384615385,0.937947494033413
"Environmental domains, total","Production of industrial envir equipment",2009,5.8,1316,420,"Production of indust [...]",0.983050847457627,0.786140979689367,1.06870229007634
"Environmental domains, total","Production of industrial envir equipment",2010,5.9,1408,467,"Production of indust [...]",1.01724137931034,1.06990881458967,1.11190476190476
"Environmental domains, total","Production of industrial envir equipment",2011,6.1,1629,494,"Production of indust [...]",1.03389830508475,1.15696022727273,1.05781584582441
"Environmental domains, total","Production of industrial envir equipment",2012,5.8,1588,445,"Production of indust [...]",0.950819672131148,0.974831184775936,0.90080971659919
"Environmental domains, total","Production of industrial envir equipment",2013,5.8,1614,462,"Production of indust [...]",1,1.01637279596977,1.03820224719101
"Environmental domains, total","Production of industrial envir equipment",2014,5.7,1678,495,"Production of indust [...]",0.982758620689655,1.03965303593556,1.07142857142857
"Environmental domains, total","Production of industrial envir equipment",2015,5.7,1729,500,"Production of indust [...]",1,1.03039332538737,1.01010101010101
"Environmental domains, total","Production of renewable energy",2001,0.8,156,107,"Production of renewa [...]",NA,NA,NA
"Environmental domains, total","Production of renewable energy",2002,0.9,193,135,"Production of renewa [...]",1.125,1.23717948717949,1.26168224299065
"Environmental domains, total","Production of renewable energy",2003,0.9,239,165,"Production of renewa [...]",1,1.23834196891192,1.22222222222222
"Environmental domains, total","Production of renewable energy",2004,1,476,364,"Production of renewa [...]",1.11111111111111,1.99163179916318,2.20606060606061
"Environmental domains, total","Production of renewable energy",2005,1.2,906,740,"Production of renewa [...]",1.2,1.90336134453782,2.03296703296703
"Environmental domains, total","Production of renewable energy",2006,1.3,1015,823,"Production of renewa [...]",1.08333333333333,1.12030905077263,1.11216216216216
"Environmental domains, total","Production of renewable energy",2007,1.5,1035,780,"Production of renewa [...]",1.15384615384615,1.01970443349754,0.94775212636695
"Environmental domains, total","Production of renewable energy",2008,1.8,1389,1077,"Production of renewa [...]",1.2,1.34202898550725,1.38076923076923
"Environmental domains, total","Production of renewable energy",2009,2.1,1696,1226,"Production of renewa [...]",1.16666666666667,1.22102231821454,1.13834726090993
"Environmental domains, total","Production of renewable energy",2010,2.2,1778,1113,"Production of renewa [...]",1.04761904761905,1.04834905660377,0.907830342577488
"Environmental domains, total","Production of renewable energy",2011,2.3,2235,1278,"Production of renewa [...]",1.04545454545455,1.2570303712036,1.14824797843666
"Environmental domains, total","Production of renewable energy",2012,2.5,3087,1316,"Production of renewa [...]",1.08695652173913,1.38120805369128,1.02973395931142
"Environmental domains, total","Production of renewable energy",2013,2.6,3062,1387,"Production of renewa [...]",1.04,0.991901522513767,1.05395136778115
"Environmental domains, total","Production of renewable energy",2014,2.6,3287,1629,"Production of renewa [...]",1,1.07348138471587,1.17447728911319
"Environmental domains, total","Production of renewable energy",2015,2.8,3316,1770,"Production of renewa [...]",1.07692307692308,1.00882263462124,1.0865561694291
"Environmental domains, total","Second-hand shops (not antiques)",2001,1.2,91,46,"Second-hand shops (n [...]",NA,NA,NA
"Environmental domains, total","Second-hand shops (not antiques)",2002,1.4,117,54,"Second-hand shops (n [...]",1.16666666666667,1.28571428571429,1.17391304347826
"Environmental domains, total","Second-hand shops (not antiques)",2003,1.7,125,59,"Second-hand shops (n [...]",1.21428571428571,1.06837606837607,1.09259259259259
"Environmental domains, total","Second-hand shops (not antiques)",2004,1.4,122,55,"Second-hand shops (n [...]",0.823529411764706,0.976,0.932203389830508
"Environmental domains, total","Second-hand shops (not antiques)",2005,1.7,121,62,"Second-hand shops (n [...]",1.21428571428571,0.991803278688525,1.12727272727273
"Environmental domains, total","Second-hand shops (not antiques)",2006,1.4,100,51,"Second-hand shops (n [...]",0.823529411764706,0.826446280991736,0.82258064516129
"Environmental domains, total","Second-hand shops (not antiques)",2007,1.3,97,53,"Second-hand shops (n [...]",0.928571428571429,0.97,1.03921568627451
"Environmental domains, total","Second-hand shops (not antiques)",2008,1.6,112,55,"Second-hand shops (n [...]",1.23076923076923,1.15463917525773,1.0377358490566
"Environmental domains, total","Second-hand shops (not antiques)",2009,1.9,118,59,"Second-hand shops (n [...]",1.1875,1.05357142857143,1.07272727272727
"Environmental domains, total","Second-hand shops (not antiques)",2010,1.9,148,71,"Second-hand shops (n [...]",1,1.25423728813559,1.20338983050847
"Environmental domains, total","Second-hand shops (not antiques)",2011,2,180,85,"Second-hand shops (n [...]",1.05263157894737,1.21621621621622,1.19718309859155
"Environmental domains, total","Second-hand shops (not antiques)",2012,1.9,170,95,"Second-hand shops (n [...]",0.95,0.944444444444444,1.11764705882353
"Environmental domains, total","Second-hand shops (not antiques)",2013,2,167,93,"Second-hand shops (n [...]",1.05263157894737,0.982352941176471,0.978947368421053
"Environmental domains, total","Second-hand shops (not antiques)",2014,2.1,165,95,"Second-hand shops (n [...]",1.05,0.988023952095808,1.02150537634409
"Environmental domains, total","Second-hand shops (not antiques)",2015,1.9,180,92,"Second-hand shops (n [...]",0.904761904761905,1.09090909090909,0.968421052631579
"Environmental domains, total","Specialised producers of env. services",2001,21.4,4141,1544,"Specialised producer [...]",NA,NA,NA
"Environmental domains, total","Specialised producers of env. services",2002,22.2,4418,1650,"Specialised producer [...]",1.03738317757009,1.06689205505916,1.06865284974093
"Environmental domains, total","Specialised producers of env. services",2003,23,4643,1773,"Specialised producer [...]",1.03603603603604,1.05092802172929,1.07454545454545
"Environmental domains, total","Specialised producers of env. services",2004,22.2,4616,1706,"Specialised producer [...]",0.965217391304348,0.994184794314021,0.962210941906373
"Environmental domains, total","Specialised producers of env. services",2005,22,4495,1684,"Specialised producer [...]",0.990990990990991,0.973786828422877,0.987104337631887
"Environmental domains, total","Specialised producers of env. services",2006,21.6,4657,1801,"Specialised producer [...]",0.981818181818182,1.03604004449388,1.06947743467933
"Environmental domains, total","Specialised producers of env. services",2007,21.9,4932,1983,"Specialised producer [...]",1.01388888888889,1.05905089113163,1.10105496946141
"Environmental domains, total","Specialised producers of env. services",2008,22.1,5511,2262,"Specialised producer [...]",1.00913242009132,1.11739659367397,1.14069591527988
"Environmental domains, total","Specialised producers of env. services",2009,23,5425,2166,"Specialised producer [...]",1.04072398190045,0.984394846670296,0.957559681697613
